dataset,epsilon,repetition,non_private_ranking,private_ranking,similarity,seed
1,2.0,2,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,86004
1,2.0,3,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,45033
1,2.0,4,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,89499
1,2.0,5,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2 10  8  7 12],0.9871794871794872,79632
1,2.0,6,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,70534
1,2.0,7,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,23064
1,2.0,8,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2 10  8  7 12],0.9871794871794872,76700
1,2.0,9,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,5202
1,5.0,0,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2 10  8  7 12],0.9871794871794872,57009
1,5.0,1,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,40455
1,5.0,2,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  5 11  3  9  1  6  2  8 10  7 12],0.9871794871794872,99664
1,5.0,3,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,19851
1,5.0,4,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,94652
1,5.0,5,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,9075
1,5.0,6,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,62317
1,5.0,7,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,58033
1,5.0,8,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,89894
1,5.0,9,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4  3 11  9  1  6  2  8 10  7 12],0.9871794871794872,29869
1,10.0,0,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,90207
1,10.0,1,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,67199
1,10.0,2,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,89039
1,10.0,3,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,19951
1,10.0,4,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,75824
1,10.0,5,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,94211
1,10.0,6,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,4859
1,10.0,7,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,36511
1,10.0,8,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,63651
1,10.0,9,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,10549
2,0.1,0,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 0  1 13  5  9  2  4  3 11 10 12 14  6  8  7],0.5619047619047619,85062
